pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
680704,77.85000000000001,96.5,25.833333333333332,12
666159,77.83548387096775,98.9,36.32258064516129,31
663559,77.76470588235294,100.2,26.970588235294116,34
571948,77.7375,106.5,20.5625,16
608371,77.7,89.5,16.0,3
605452,77.7,103.2,17.4,20
641729,77.59,89.4,6.0,10
600986,77.4857142857143,107.9,9.142857142857142,21
502624,77.44634146341464,112.8,29.585365853658537,41
628317,77.40434782608695,107.3,9.782608695652174,23
670174,77.27499999999999,105.9,-4.916666666666667,12
672282,77.26071428571429,113.1,22.285714285714285,28
676710,77.26060606060605,105.1,28.151515151515152,33
621242,77.12307692307692,99.1,21.384615384615383,13
543135,77.0657894736842,96.0,8.947368421052632,38
676477,76.97777777777777,103.5,11.13888888888889,36
605154,76.96666666666667,101.3,15.166666666666666,6
660761,76.9121212121212,107.8,16.696969696969695,33
664299,76.88571428571429,99.7,25.892857142857142,28
543351,76.61999999999999,103.0,26.666666666666668,15
663978,76.544,110.3,9.96,25
661527,76.51,104.0,22.0,10
650556,76.5,82.6,6.333333333333333,3
595897,76.44285714285714,96.3,30.904761904761905,21
621345,76.37272727272727,99.8,25.454545454545453,11
641585,76.13939393939394,102.7,15.333333333333334,33
554431,76.06,91.4,32.4,10
548384,76.05555555555556,107.3,6.666666666666667,18
668881,76.045,103.3,24.05,40
